,company_name,company_rating,old,total_employees,cities,type,industry
58,HDB Financial Services,4.0, 17 years old , 1 Lakh+ Employees , Ahmedabad +959 more,,
59,Larsen & Toubro Limited,4.1, 86 years old , 10k-50k Employees , Mumbai +623 more, Public ,Engineering & Construction 
60,TCS,3.8, 56 years old , 1 Lakh+ Employees , Mumbai +349 more, Public ,IT Services & Consulting 
61,Accenture,4.0, 35 years old , 1 Lakh+ Employees , Dublin +181 more, Public ,IT Services & Consulting 
62,Cognizant,3.9, 30 years old , 1 Lakh+ Employees , Teaneck. New Jersey. +169 more, Forbes Global 2000 ,IT Services & Consulting 
63,Wipro,3.8, 79 years old , 1 Lakh+ Employees , Bangalore/Bengaluru +272 more, Public ,IT Services & Consulting 
64,Capgemini,3.8, 57 years old , 1 Lakh+ Employees , Paris +142 more, Public ,IT Services & Consulting 
65,HDFC Bank,4.0, 30 years old , 1 Lakh+ Employees , Mumbai +1560 more, Public ,Banking 
66,ICICI Bank,4.0, 30 years old , 1 Lakh+ Employees , Mumbai +1295 more, Public ,Banking 
67,Infosys,3.8, 43 years old , 1 Lakh+ Employees , Bengaluru/Bangalore +182 more, Public ,IT Services & Consulting 
68,HCLTech,3.7, 33 years old , 1 Lakh+ Employees , Noida +184 more, Public ,IT Services & Consulting 
69,Tech Mahindra,3.7, 38 years old , 1 Lakh+ Employees , Pune +269 more, Public ,IT Services & Consulting 
70,Genpact,3.9, 27 years old , 1 Lakh+ Employees , New York +112 more, Public ,IT Services & Consulting 
71,Axis Bank,3.9, 31 years old , 50k-1 Lakh Employees , Mumbai +1317 more, Public ,Banking 
72,Teleperformance,3.8, 46 years old , 50k-1 Lakh Employees , Paris +192 more, Forbes Global 2000 ,BPO 
73,Concentrix Corporation,3.9, 41 years old , 50k-1 Lakh Employees , Fremont +117 more, Public ,BPO 
74,Jio,4.0, 6 years old , 50k-1 Lakh Employees , Navi Mumbai +1175 more, Public ,Telecom 
75,Amazon,4.1, 30 years old , 1 Lakh+ Employees , Seattle +455 more, Public ,Internet 
76,IBM,4.1, 113 years old , 1 Lakh+ Employees , Armonk +149 more, Public ,IT Services & Consulting 
77,Reliance Retail,4.0, 18 years old , 1 Lakh+ Employees , Navi Mumbai +1013 more,,
78,HDB Financial Services,4.0, 17 years old , 1 Lakh+ Employees , Ahmedabad +959 more,,
79,Larsen & Toubro Limited,4.1, 86 years old , 10k-50k Employees , Mumbai +623 more, Public ,Engineering & Construction 
80,TCS,3.8, 56 years old , 1 Lakh+ Employees , Mumbai +349 more, Public ,IT Services & Consulting 
81,Accenture,4.0, 35 years old , 1 Lakh+ Employees , Dublin +181 more, Public ,IT Services & Consulting 
